Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,L. Maggiore,Lower L. Lugano,Upper L. Lugano,L. Geneva,Lower L. Constance,Upper L. Constance,Upper L. Zürich,Lower L. Zürich,Walensee,Rotsee,L. Biel,L. Murten,L. Neuchâtel,L. Alpnach,"L. Lucerne, Gersauer Becken","L. Lucerne, Kreuztrichter","L. Lucerne, Urnersee",Greifensee,Pfäffikersee,L. Brienz,Klöntalersee,Lago di Poschiavo,Lac de Joux,Lac de l'Hongrin,L. Davos,Oeschinensee,L. St. Moritz,L. Silvaplana,L. Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l)
Felchen,Coregonus spp,,4,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,4,3.0
Groppe,Cottus gobio,"Rhein, Rhone, Doubs, Ticino,",4,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,X,4,3.0
Brachsmen,Abramis brama,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,26,0,3.0
Schneider,Alburnoides bipunctatus,"Rhein, Rhone, Doubs",3,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,X,3,3.0
"Laube, Ukelei",Alburnus alburnus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,24,4,3.0
Alborella,Alburnus arborella,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,5,3.0
Barbe,Barbus barbus,"Rhein, Rhone, Doubs",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,29,2,3.0
Barbo canino,Barbus caninus,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,29,X,3.0
Barbo,Barbus plebejus,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,26,5,3.0
Blicke,Blicca bjoerkna,Rhein,4,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,17,2,3.0
Nase,Chondrostoma nasus,Rhein,1,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,21,X,3.0
Savetta,Chondrostoma soetta,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0
Karpfen,Cyprinus carpio,"Rhein, Rhone, Doubs, Ticino",4,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,X,X,3.0
Gründling,Gobio gobio,"Rhein, Rhone, Doubs, Ticino",NG,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,28,4,3.0
Kurzschnäuziger Grünling,Gobio obtusirostris,Bodensee,DU,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23,3,3.0
Moderlieschen,Leucaspius delineatus,Rhein,3,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,X,6,3.0
Hasel,Leuciscus leuciscus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,X,4,3.0
Soiffe,Parachondrostoma toxostoma,Doubs,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,6,3.0
Elritze,Phoxinus phoxinus,"Rhein, Rhone, Doubs, Inn",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,26,X,3.0
Bitterling,Rhodeus amarus,Rhei,2,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,29,5,3.0
Po-Griindling,Romanogobio benacensis ici,Ticino,DU,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0
Triotto,Rutilus aula,Ticino,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,32,8,3.0
Pigo,Rutilus pigus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16,X,3.0
Rotauge,Rutilus rutilus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,24,1,3.0
Rotfeder,Scardinius erythrophthalmus,"Rhein, Rhone, Doubs, Inn",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,32,X,3.0
Scardola italiana,Scardinius hesperidicus,Ticino,3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16,0,3.0
Alet,Squalius cephalus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,18,1,3.0
Cavedano italiano,Squalius squalus,Ticino,3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,30,3,3.0
Strigione,Telestes muticellus,Ticino,4,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,28,7,3.0
Stromer,Telestes souffia,"Rhein, Rhone, Doubs",3,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,X,3,3.0
Schleie,Tinca tinca,"Rhein, Rhone, Doubs, Ticino,",NG,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,X,3,3.0
Siidlicher Hecht ,Esox cisalpinus,Ticino,DU,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,30,6,3.0
Hecht,Esox lucius,"Rhein, Rhone, Doubs, Ticino, Inn",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,29,X,3.0
Stichling,Gasterosteus gymnurus,"Rhein Raum Basel, Langensee",4,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,27,3,3.0
Ghiozzo,Padogobius bonelli,Ticino,2,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0
Trügen,Lota lota,"Rhein, Rhone, Ticino",NG,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,15,X,3.0
"Schmerle, Bartgrundel",Barbatula barbatula,"Rhein, Rhone, Doubs, Inn",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,X,1,3.0
Kaulbarsch,Gymnocephalus cernua,"Rhein, Rhone",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,15,3,3.0
"Flussbarsch, Egli",Perca fluviatilis,"Rhein, Rhone, Doubs, Ticino, Inn",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,X,1,3.0
Rhonestreber,Zingel asper,Doubs,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0
Flussneunauge,Lampetra fluviatilis,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,31,8,3.0
Bachneunauge,Lampetra planeri,"Rhein, Doubs",2,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,17,8,3.0
Piccola lampreda,Lampetra zanandreai,Ticino,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19,X,3.0
Meerneunauge,Petromyzon marinus,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23,3,3.0
Huchen,Hucho hucho,Inn,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,23,3,3.0
Adriatische Forelle,Salmo cenerinus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16,7,3.0
Donauforelle,Salmo labrax,Inn,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,X,1,3.0
Marmorataforelle,Salmo marmoratus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19,X,3.0
Zebraforelle ,Salmo rhodanensis,Doubs,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,22,3,3.0
Lachs,Salmo salar,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,17,8,3.0
Bachforelle,Salmo trutta fario,"Rhein, Rhone, Inn",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,19,X,3.0
Flussforelle,Salmo trutta fario,,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,17,4,3.0
Seeforelle,Salmo trutta lacustris ,,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,28,X,3.0
Meerforelle,Salmo trutta trutta,Rhein,0,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,23,8,3.0
Jaunet,Salvelinus neocomensis,Neuenburgersee,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,24,8,3.0
Tiefseesaibling,Salvelinus profundus,Bodensee,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,33,1,3.0
Seesaibling,Salvelinus umbla seespezifisch,,3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,X,3.0
Wels,Silurus glanis,"Hochrhein, Aare, Jurarandseen, Bodensee",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,34,1,3.0
Adriatische Aesche,Thymallus aeliani,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,18,1,3.0
Asche,Thymallus thymallus,"Rhein, Rhone, Doubs, Inn",2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,21,8,3.0
Italienischer Dohlenkrebs,Austropotamobius italicus,"Rhein, Rhone, Ticino",1,JA,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,25,1,3.0
Dohlenkrebs,Austropotamobius pallipes,"Rhein, Rhone, Doubs, Ticiono",2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,X,8,3.0
Steinkrebs,Austropotamobius torrentium,Rhein,2,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,21,5,3.0
Edelkrebs,Astacus astacus,"Rhein, Rhone, Doubs, Inn",3,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,16,5,3.0
Sanguinerola italiana,Phoxinus lumaireul,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,JA,NEIN,28,4,3.0
